<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,240801,100000,133.48,134.35,132.98,133.81,5098690
GAZP,60,240801,110000,133.84,133.92,133.31,133.43,2234020
GAZP,60,240801,120000,133.42,133.64,133.15,133.27,1395490
GAZP,60,240801,130000,133.26,133.64,132.76,133.1,3167250
GAZP,60,240801,140000,133.07,133.4,132.73,133.05,2525180
GAZP,60,240801,150000,133.05,133.4,132.66,133.02,1601980
GAZP,60,240801,160000,133.05,133.5,133.02,133.37,1005390
GAZP,60,240801,170000,133.37,133.48,132.81,132.98,1015100
GAZP,60,240801,180000,132.96,132.97,132.41,132.48,2726820
GAZP,60,240801,190000,132.48,132.97,132.25,132.75,1600500
GAZP,60,240801,200000,132.71,132.77,132.17,132.35,1989680
GAZP,60,240801,210000,132.35,132.49,131.51,131.9,3599690
GAZP,60,240801,220000,131.9,132.29,131.75,132.16,873250
GAZP,60,240801,230000,132.16,132.21,131.83,132.05,748090
GAZP,60,240802,100000,132.05,132.6,131.33,132.11,4773960
GAZP,60,240802,110000,132.11,132.48,131.38,131.43,3689460
GAZP,60,240802,120000,131.43,131.64,130.7,131.12,4007980
GAZP,60,240802,130000,131.13,131.45,130.9,131.11,1627550
GAZP,60,240802,140000,131.06,131.06,129.77,130.47,7170360
GAZP,60,240802,150000,130.48,130.74,129.66,130.43,2922410
GAZP,60,240802,160000,130.44,130.98,130,130.82,2367740
GAZP,60,240802,170000,130.83,132.4,130.6,131.86,5879530
GAZP,60,240802,180000,131.87,132.09,131.28,131.31,3318770
GAZP,60,240802,190000,131.31,131.4,130.94,131.08,1326240
GAZP,60,240802,200000,131.08,131.08,130.7,130.91,1184310
GAZP,60,240802,210000,130.9,131.48,130.81,131.14,1345010
GAZP,60,240802,220000,131.14,131.48,131.13,131.44,422040
GAZP,60,240802,230000,131.48,131.66,131.3,131.45,658860
GAZP,60,240805,100000,129.06,130.54,128.7,129.36,11356910
GAZP,60,240805,110000,129.36,130,128.25,128.4,7251710
GAZP,60,240805,120000,128.45,128.87,127.6,128.59,9093660
GAZP,60,240805,130000,128.59,129.15,127.74,128.63,6212710
GAZP,60,240805,140000,128.63,129,127.48,127.85,4622310
