<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,240402,100000,158.17,158.42,157.51,157.7,2242290
GAZP,60,240402,110000,157.7,157.81,157.57,157.72,1207930
GAZP,60,240402,120000,157.72,157.75,157.58,157.61,971430
GAZP,60,240402,130000,157.61,157.75,157.57,157.66,779940
GAZP,60,240402,140000,157.65,157.89,157.62,157.86,559980
GAZP,60,240402,150000,157.86,158.05,157.85,157.99,683150
GAZP,60,240402,160000,157.99,158.12,157.9,158.11,1080590
GAZP,60,240402,170000,158.12,158.92,158,158.9,3123770
GAZP,60,240402,180000,158.91,162.48,158.89,162.02,18004090
GAZP,60,240402,190000,162.45,164.98,162.05,164.68,28552820
GAZP,60,240402,200000,164.66,164.74,163.11,163.43,8001910
GAZP,60,240402,210000,163.44,163.96,163.11,163.22,2692660
GAZP,60,240402,220000,163.26,163.73,163.22,163.61,1759390
GAZP,60,240402,230000,163.61,164.37,163.52,164.18,2584230
GAZP,60,240403,100000,164.1,165.36,163.11,164.33,14084250
GAZP,60,240403,110000,164.33,164.42,162.33,162.87,6871600
GAZP,60,240403,120000,162.88,163.79,162.5,163.56,4126330
GAZP,60,240403,130000,163.56,163.6,162.7,162.85,2383030
GAZP,60,240403,140000,162.83,163.28,162.61,162.61,2145910
GAZP,60,240403,150000,162.61,162.89,162.12,162.66,2649510
GAZP,60,240403,160000,162.66,163.22,162.48,162.91,2446110
GAZP,60,240403,170000,162.87,163.55,162.76,163.37,2758630
GAZP,60,240403,180000,163.36,163.5,162.73,163.5,1732440
GAZP,60,240403,190000,163.41,163.9,163,163.13,924440
GAZP,60,240403,200000,163.13,163.17,162.89,163.06,619040
GAZP,60,240403,210000,163.06,163.3,162.99,163.22,433670
GAZP,60,240403,220000,163.2,163.27,162.46,162.85,818570
GAZP,60,240403,230000,162.85,162.85,162.43,162.63,991350
GAZP,60,240404,100000,162.77,163.19,161.6,162.07,5819260
GAZP,60,240404,110000,162.06,162.47,162.02,162.22,1526410
