<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
+МосЭнерго,15,20240813,094500,2.5715,2.5715,2.5715,2.5715,9,0
+МосЭнерго,15,20240813,100000,2.5715,2.6495,2.5625,2.614,5842,0
+МосЭнерго,15,20240813,101500,2.615,2.618,2.6055,2.6135,1815,0
+МосЭнерго,15,20240813,103000,2.614,2.6145,2.6045,2.614,740,0
+МосЭнерго,15,20240813,104500,2.614,2.618,2.6075,2.618,248,0
+МосЭнерго,15,20240813,110000,2.6165,2.6165,2.6045,2.6085,191,0
+МосЭнерго,15,20240813,111500,2.6095,2.615,2.6095,2.6095,112,0
+МосЭнерго,15,20240813,113000,2.61,2.61,2.606,2.606,246,0
+МосЭнерго,15,20240813,114500,2.608,2.6105,2.6055,2.6105,219,0
+МосЭнерго,15,20240813,120000,2.612,2.625,2.612,2.6175,523,0
+МосЭнерго,15,20240813,121500,2.6165,2.617,2.6105,2.6105,63,0
+МосЭнерго,15,20240813,123000,2.6105,2.6105,2.61,2.6105,59,0
+МосЭнерго,15,20240813,124500,2.611,2.6205,2.6105,2.6175,98,0
+МосЭнерго,15,20240813,130000,2.6205,2.622,2.6105,2.6105,395,0
+МосЭнерго,15,20240813,131500,2.61,2.616,2.61,2.616,107,0
+МосЭнерго,15,20240813,133000,2.616,2.6185,2.616,2.618,92,0
+МосЭнерго,15,20240813,134500,2.618,2.618,2.6175,2.6175,14,0
+МосЭнерго,15,20240813,140000,2.618,2.618,2.616,2.616,34,0
+МосЭнерго,15,20240813,141500,2.6165,2.6165,2.6135,2.6165,55,0
+МосЭнерго,15,20240813,143000,2.6135,2.618,2.613,2.618,128,0
+МосЭнерго,15,20240813,144500,2.617,2.617,2.6135,2.6165,428,0
+МосЭнерго,15,20240813,150000,2.615,2.6175,2.615,2.6165,703,0
+МосЭнерго,15,20240813,151500,2.617,2.6175,2.6165,2.6175,191,0
+МосЭнерго,15,20240813,153000,2.6175,2.6195,2.6165,2.617,319,0
+МосЭнерго,15,20240813,154500,2.616,2.617,2.612,2.612,287,0
+МосЭнерго,15,20240813,160000,2.613,2.6155,2.609,2.61,387,0
+МосЭнерго,15,20240813,161500,2.61,2.6145,2.61,2.6145,27,0
+МосЭнерго,15,20240813,163000,2.617,2.618,2.611,2.614,81,0
+МосЭнерго,15,20240813,164500,2.615,2.615,2.613,2.613,128,0
+МосЭнерго,15,20240813,170000,2.614,2.6185,2.611,2.611,275,0
+МосЭнерго,15,20240813,171500,2.6115,2.6135,2.608,2.6135,209,0
+МосЭнерго,15,20240813,173000,2.611,2.613,2.6075,2.6075,93,0
+МосЭнерго,15,20240813,174500,2.609,2.6135,2.6085,2.6135,122,0
+МосЭнерго,15,20240813,180000,2.6095,2.6135,2.606,2.606,278,0
+МосЭнерго,15,20240813,181500,2.606,2.61,2.605,2.608,126,0
+МосЭнерго,15,20240813,183000,2.6055,2.609,2.605,2.605,147,0
+МосЭнерго,15,20240813,184500,2.605,2.605,2.605,2.605,7,0
+МосЭнерго,15,20240813,190000,2.608,2.614,2.608,2.614,165,0
+МосЭнерго,15,20240813,191500,2.6145,2.6175,2.614,2.6175,118,0
+МосЭнерго,15,20240813,193000,2.618,2.618,2.616,2.618,13,0
+МосЭнерго,15,20240813,194500,2.6175,2.6175,2.6135,2.616,139,0
+МосЭнерго,15,20240813,200000,2.6155,2.616,2.6155,2.616,58,0
+МосЭнерго,15,20240813,201500,2.617,2.6185,2.6155,2.6185,67,0
+МосЭнерго,15,20240813,203000,2.6165,2.617,2.6135,2.6135,14,0
+МосЭнерго,15,20240813,204500,2.616,2.618,2.616,2.618,307,0
+МосЭнерго,15,20240813,210000,2.616,2.616,2.6135,2.6145,29,0
+МосЭнерго,15,20240813,211500,2.6145,2.62,2.6135,2.62,211,0
+МосЭнерго,15,20240813,213000,2.62,2.62,2.6165,2.6165,29,0
+МосЭнерго,15,20240813,214500,2.6145,2.615,2.6145,2.615,10,0
+МосЭнерго,15,20240813,220000,2.615,2.6195,2.615,2.616,19,0
+МосЭнерго,15,20240813,221500,2.615,2.615,2.6135,2.614,46,0
+МосЭнерго,15,20240813,223000,2.618,2.619,2.618,2.619,18,0
+МосЭнерго,15,20240813,224500,2.619,2.6205,2.619,2.62,59,0
+МосЭнерго,15,20240813,230000,2.62,2.6205,2.617,2.6205,25,0
+МосЭнерго,15,20240813,231500,2.62,2.622,2.62,2.622,55,0
+МосЭнерго,15,20240813,233000,2.622,2.63,2.622,2.63,636,0
+МосЭнерго,15,20240813,234500,2.6295,2.6325,2.6295,2.632,36,0
+МосЭнерго,15,20240814,094500,2.6,2.6,2.6,2.6,536,0
+МосЭнерго,15,20240814,100000,2.6,2.6375,2.597,2.625,915,0
+МосЭнерго,15,20240814,101500,2.6265,2.63,2.625,2.625,400,0
+МосЭнерго,15,20240814,103000,2.6265,2.6295,2.6215,2.625,560,0
+МосЭнерго,15,20240814,104500,2.623,2.6235,2.62,2.6235,503,0
+МосЭнерго,15,20240814,110000,2.62,2.627,2.62,2.6255,167,0
+МосЭнерго,15,20240814,111500,2.626,2.6265,2.62,2.6225,125,0
+МосЭнерго,15,20240814,113000,2.6225,2.6255,2.62,2.6255,68,0
+МосЭнерго,15,20240814,114500,2.6245,2.6245,2.6215,2.622,89,0
+МосЭнерго,15,20240814,120000,2.622,2.6235,2.62,2.62,234,0
+МосЭнерго,15,20240814,121500,2.62,2.6225,2.615,2.6225,330,0
+МосЭнерго,15,20240814,123000,2.6205,2.6225,2.6185,2.6215,125,0
+МосЭнерго,15,20240814,124500,2.622,2.625,2.618,2.625,154,0
+МосЭнерго,15,20240814,130000,2.6245,2.625,2.617,2.617,145,0
+МосЭнерго,15,20240814,131500,2.617,2.617,2.61,2.6105,323,0
+МосЭнерго,15,20240814,133000,2.6105,2.6105,2.6025,2.6045,282,0
+МосЭнерго,15,20240814,134500,2.6055,2.609,2.6025,2.6025,177,0
+МосЭнерго,15,20240814,140000,2.6075,2.613,2.6005,2.6005,227,0
+МосЭнерго,15,20240814,141500,2.6005,2.6005,2.591,2.5915,548,0
+МосЭнерго,15,20240814,143000,2.5935,2.6045,2.5935,2.6045,109,0
+МосЭнерго,15,20240814,144500,2.6045,2.607,2.595,2.5965,146,0
+МосЭнерго,15,20240814,150000,2.598,2.5985,2.595,2.595,185,0
+МосЭнерго,15,20240814,151500,2.595,2.599,2.595,2.595,146,0
+МосЭнерго,15,20240814,153000,2.5945,2.595,2.5945,2.595,122,0
+МосЭнерго,15,20240814,154500,2.595,2.6005,2.595,2.597,112,0
+МосЭнерго,15,20240814,160000,2.598,2.5985,2.5955,2.5955,28,0
+МосЭнерго,15,20240814,161500,2.5955,2.5955,2.5955,2.5955,14,0
+МосЭнерго,15,20240814,173000,2.5955,2.5955,2.59,2.5905,349,0
+МосЭнерго,15,20240814,174500,2.591,2.5915,2.5895,2.5895,113,0
+МосЭнерго,15,20240814,180000,2.5895,2.5895,2.588,2.588,237,0
+МосЭнерго,15,20240814,181500,2.588,2.588,2.571,2.575,877,0
+МосЭнерго,15,20240814,183000,2.5755,2.5875,2.5755,2.5875,499,0
+МосЭнерго,15,20240814,184500,2.5915,2.5915,2.5915,2.5915,81,0
+МосЭнерго,15,20240814,190000,2.591,2.593,2.584,2.584,184,0
+МосЭнерго,15,20240814,191500,2.584,2.584,2.5785,2.5785,91,0
+МосЭнерго,15,20240814,193000,2.579,2.5815,2.572,2.572,108,0
+МосЭнерго,15,20240814,194500,2.5725,2.5795,2.572,2.574,96,0
+МосЭнерго,15,20240814,200000,2.575,2.5795,2.5735,2.5735,115,0
+МосЭнерго,15,20240814,201500,2.575,2.578,2.573,2.5735,17,0
+МосЭнерго,15,20240814,203000,2.5755,2.582,2.5755,2.579,325,0
+МосЭнерго,15,20240814,204500,2.574,2.582,2.574,2.582,246,0
+МосЭнерго,15,20240814,210000,2.581,2.582,2.581,2.582,5,0
+МосЭнерго,15,20240814,211500,2.5805,2.5805,2.58,2.58,20,0
+МосЭнерго,15,20240814,213000,2.582,2.582,2.5815,2.582,23,0
+МосЭнерго,15,20240814,214500,2.582,2.582,2.58,2.58,14,0
+МосЭнерго,15,20240814,220000,2.578,2.578,2.578,2.578,6,0
+МосЭнерго,15,20240814,221500,2.581,2.581,2.581,2.581,3,0
+МосЭнерго,15,20240814,223000,2.58,2.581,2.58,2.581,5,0
+МосЭнерго,15,20240814,224500,2.581,2.581,2.581,2.581,2,0
+МосЭнерго,15,20240814,230000,2.581,2.581,2.5805,2.5805,8,0
+МосЭнерго,15,20240814,231500,2.579,2.581,2.5785,2.581,11,0
+МосЭнерго,15,20240814,233000,2.5805,2.582,2.579,2.582,150,0
+МосЭнерго,15,20240814,234500,2.5815,2.5815,2.5815,2.5815,51,0
+МосЭнерго,15,20240815,094500,2.5815,2.5815,2.5815,2.5815,3,0
+МосЭнерго,15,20240815,100000,2.5815,2.5885,2.566,2.5825,383,0
+МосЭнерго,15,20240815,101500,2.5825,2.5825,2.57,2.575,220,0
+МосЭнерго,15,20240815,103000,2.5745,2.5905,2.5745,2.588,1124,0
+МосЭнерго,15,20240815,104500,2.5865,2.5865,2.575,2.5795,368,0
+МосЭнерго,15,20240815,110000,2.5795,2.5795,2.57,2.574,47,0
+МосЭнерго,15,20240815,111500,2.576,2.5775,2.57,2.5775,89,0
+МосЭнерго,15,20240815,113000,2.5755,2.579,2.5755,2.577,52,0
+МосЭнерго,15,20240815,114500,2.5775,2.5775,2.57,2.57,66,0
+МосЭнерго,15,20240815,120000,2.5695,2.5795,2.5685,2.579,105,0
+МосЭнерго,15,20240815,121500,2.58,2.5925,2.58,2.5885,501,0
+МосЭнерго,15,20240815,123000,2.5885,2.5885,2.586,2.586,22,0
+МосЭнерго,15,20240815,124500,2.586,2.598,2.586,2.598,103,0
+МосЭнерго,15,20240815,130000,2.5975,2.6015,2.5925,2.6015,281,0
+МосЭнерго,15,20240815,131500,2.602,2.606,2.602,2.605,144,0
+МосЭнерго,15,20240815,133000,2.6055,2.606,2.5895,2.5905,177,0
+МосЭнерго,15,20240815,134500,2.59,2.5945,2.5865,2.5945,48,0
+МосЭнерго,15,20240815,140000,2.588,2.5925,2.587,2.588,83,0
+МосЭнерго,15,20240815,141500,2.5905,2.5905,2.58,2.58,190,0
+МосЭнерго,15,20240815,143000,2.581,2.581,2.577,2.5775,72,0
+МосЭнерго,15,20240815,144500,2.578,2.589,2.578,2.589,39,0
+МосЭнерго,15,20240815,150000,2.584,2.584,2.582,2.584,13,0
+МосЭнерго,15,20240815,151500,2.584,2.5915,2.584,2.5915,5,0
+МосЭнерго,15,20240815,153000,2.5895,2.5995,2.5865,2.597,144,0
+МосЭнерго,15,20240815,154500,2.598,2.598,2.5745,2.5765,206,0
+МосЭнерго,15,20240815,160000,2.5765,2.5945,2.5745,2.5945,174,0
+МосЭнерго,15,20240815,161500,2.5935,2.5935,2.582,2.588,45,0
+МосЭнерго,15,20240815,163000,2.589,2.5945,2.589,2.5935,39,0
+МосЭнерго,15,20240815,164500,2.591,2.591,2.5905,2.5905,7,0
+МосЭнерго,15,20240815,170000,2.5905,2.593,2.5905,2.593,10,0
+МосЭнерго,15,20240815,171500,2.592,2.594,2.592,2.594,32,0
+МосЭнерго,15,20240815,173000,2.592,2.594,2.585,2.5875,23,0
+МосЭнерго,15,20240815,174500,2.5875,2.5875,2.586,2.586,2,0
+МосЭнерго,15,20240815,180000,2.582,2.583,2.5795,2.581,47,0
+МосЭнерго,15,20240815,181500,2.5785,2.5785,2.577,2.5785,55,0
+МосЭнерго,15,20240815,183000,2.578,2.59,2.5755,2.59,220,0
+МосЭнерго,15,20240815,184500,2.593,2.593,2.593,2.593,107,0
+МосЭнерго,15,20240815,190000,2.5935,2.5935,2.582,2.591,207,0
+МосЭнерго,15,20240815,191500,2.5845,2.5845,2.58,2.5845,32,0
+МосЭнерго,15,20240815,193000,2.5845,2.5845,2.583,2.583,21,0
+МосЭнерго,15,20240815,200000,2.588,2.588,2.5805,2.5825,106,0
+МосЭнерго,15,20240815,201500,2.585,2.5855,2.5835,2.5855,9,0
+МосЭнерго,15,20240815,203000,2.587,2.587,2.5865,2.5865,8,0
+МосЭнерго,15,20240815,204500,2.5855,2.587,2.5845,2.587,31,0
+МосЭнерго,15,20240815,210000,2.587,2.587,2.5845,2.5845,7,0
+МосЭнерго,15,20240815,211500,2.586,2.5875,2.584,2.5845,30,0
+МосЭнерго,15,20240815,214500,2.584,2.587,2.584,2.587,6,0
+МосЭнерго,15,20240815,220000,2.5855,2.588,2.5855,2.588,35,0
+МосЭнерго,15,20240815,221500,2.588,2.588,2.588,2.588,1,0
+МосЭнерго,15,20240815,223000,2.5875,2.5875,2.5875,2.5875,1,0
+МосЭнерго,15,20240815,224500,2.588,2.588,2.588,2.588,14,0
+МосЭнерго,15,20240815,230000,2.588,2.588,2.588,2.588,4,0
+МосЭнерго,15,20240815,231500,2.5875,2.5875,2.585,2.585,66,0
+МосЭнерго,15,20240815,233000,2.585,2.585,2.585,2.585,2,0
+МосЭнерго,15,20240815,234500,2.585,2.588,2.5845,2.5855,49,0
+МосЭнерго,15,20240816,100000,2.5895,2.6,2.586,2.6,298,0
+МосЭнерго,15,20240816,101500,2.5985,2.6085,2.598,2.606,469,0
+МосЭнерго,15,20240816,103000,2.604,2.604,2.5815,2.5825,301,0
+МосЭнерго,15,20240816,104500,2.5865,2.5875,2.5595,2.5655,1675,0
+МосЭнерго,15,20240816,110000,2.567,2.573,2.567,2.568,193,0
+МосЭнерго,15,20240816,111500,2.5665,2.5665,2.5615,2.5625,199,0
+МосЭнерго,15,20240816,113000,2.5625,2.5625,2.5605,2.562,53,0
+МосЭнерго,15,20240816,114500,2.5615,2.565,2.5605,2.565,65,0
+МосЭнерго,15,20240816,120000,2.565,2.565,2.564,2.5645,35,0
+МосЭнерго,15,20240816,121500,2.5685,2.5745,2.5685,2.5735,89,0
+МосЭнерго,15,20240816,123000,2.573,2.5755,2.5715,2.5755,33,0
+МосЭнерго,15,20240816,124500,2.575,2.575,2.574,2.575,11,0
+МосЭнерго,15,20240816,130000,2.575,2.5775,2.575,2.5775,106,0
+МосЭнерго,15,20240816,131500,2.578,2.578,2.5765,2.577,18,0
+МосЭнерго,15,20240816,133000,2.578,2.578,2.5725,2.5745,34,0
+МосЭнерго,15,20240816,134500,2.576,2.581,2.576,2.5805,137,0
